Month_fj,fj_Cruiser_USA,MonthNumeric,Year
2010-01,88,1,2010
2010-02,83,2,2010
2010-03,79,3,2010
2010-04,75,4,2010
2010-05,74,5,2010
2010-06,71,6,2010
2010-07,83,7,2010
2010-08,85,8,2010
2010-09,78,9,2010
2010-10,83,10,2010
2010-11,77,11,2010
2010-12,81,12,2010
2011-01,94,1,2011
2011-02,91,2,2011
2011-03,87,3,2011
2011-04,87,4,2011
2011-05,81,5,2011
2011-06,86,6,2011
2011-07,94,7,2011
2011-08,93,8,2011
2011-09,93,9,2011
2011-10,88,10,2011
2011-11,87,11,2011
2011-12,88,12,2011
2012-01,89,1,2012
2012-02,90,2,2012
2012-03,91,3,2012
2012-04,90,4,2012
2012-05,88,5,2012
2012-06,95,6,2012
2012-07,95,7,2012
2012-08,95,8,2012
2012-09,87,9,2012
2012-10,79,10,2012
2012-11,83,11,2012
2012-12,88,12,2012
2013-01,89,1,2013
2013-02,90,2,2013
2013-03,94,3,2013
2013-04,88,4,2013
2013-05,87,5,2013
2013-06,90,6,2013
2013-07,100,7,2013
2013-08,96,8,2013
2013-09,88,9,2013
2013-10,82,10,2013
2013-11,86,11,2013
2013-12,86,12,2013
2014-01,94,1,2014
2014-02,96,2,2014
2014-03,96,3,2014
2014-04,92,4,2014
2014-05,92,5,2014
2014-06,99,6,2014
2014-07,99,7,2014
2014-08,100,8,2014
2014-09,89,9,2014
2014-10,83,10,2014
2014-11,84,11,2014
2014-12,80,12,2014
2015-01,85,1,2015
2015-02,82,2,2015
2015-03,87,3,2015
2015-04,81,4,2015
2015-05,85,5,2015
2015-06,84,6,2015
2015-07,89,7,2015
2015-08,91,8,2015
2015-09,78,9,2015
2015-10,77,10,2015
2015-11,74,11,2015
2015-12,75,12,2015
2016-01,82,1,2016
2016-02,81,2,2016
2016-03,76,3,2016
2016-04,79,4,2016
2016-05,82,5,2016
2016-06,83,6,2016
2016-07,85,7,2016
2016-08,78,8,2016
2016-09,76,9,2016
2016-10,76,10,2016
2016-11,69,11,2016
2016-12,73,12,2016
2017-01,73,1,2017
2017-02,75,2,2017
2017-03,75,3,2017
2017-04,78,4,2017
2017-05,78,5,2017
2017-06,81,6,2017
2017-07,87,7,2017
2017-08,78,8,2017
2017-09,74,9,2017
2017-10,73,10,2017
2017-11,70,11,2017
2017-12,70,12,2017
2018-01,71,1,2018
2018-02,75,2,2018
2018-03,75,3,2018
2018-04,75,4,2018
2018-05,75,5,2018
2018-06,78,6,2018
2018-07,81,7,2018
2018-08,80,8,2018
2018-09,68,9,2018
2018-10,67,10,2018
2018-11,64,11,2018
2018-12,66,12,2018
2019-01,68,1,2019
2019-02,73,2,2019
2019-03,73,3,2019
2019-04,72,4,2019
2019-05,73,5,2019
2019-06,73,6,2019
